Designator,Mid X,Mid Y,Layer,Rotation
R136,131.250003mm,49.549989999999994mm,Top,270.0
R135,134.85000300000002mm,50.549989999999994mm,Top,90.0
R132,133.650003mm,50.549989999999994mm,Top,90.0
R126,132.450003mm,50.549989999999994mm,Top,90.0
R124,131.250003mm,50.549989999999994mm,Top,90.0
R119,110.450003mm,63.44999mm,Top,90.0
R118,110.450003mm,67.54999mm,Top,90.0
R253,128.85000300000002mm,49.549989999999994mm,Top,90.0
R252,127.650003mm,49.549989999999994mm,Top,90.0
R251,126.45000300000001mm,49.549989999999994mm,Top,90.0
R250,125.25000299999999mm,49.549989999999994mm,Top,90.0
R249,128.85000300000002mm,50.549989999999994mm,Top,270.0
R248,127.650003mm,50.549989999999994mm,Top,270.0
R247,126.45000300000001mm,50.549989999999994mm,Top,270.0
R246,125.25000299999999mm,50.549989999999994mm,Top,270.0
R235,124.050003mm,49.549989999999994mm,Top,90.0
R234,122.850003mm,49.549989999999994mm,Top,90.0
R233,121.650003mm,49.549989999999994mm,Top,90.0
R232,120.450003mm,49.549989999999994mm,Top,90.0
R231,124.050003mm,50.549989999999994mm,Top,270.0
R230,122.850003mm,50.549989999999994mm,Top,270.0
R229,121.650003mm,50.549989999999994mm,Top,270.0
R228,120.450003mm,50.549989999999994mm,Top,270.0
R226,119.250003mm,49.549989999999994mm,Top,270.0
R225,118.050003mm,49.549989999999994mm,Top,270.0
R224,116.850003mm,49.549989999999994mm,Top,270.0
R223,115.650003mm,49.549989999999994mm,Top,270.0
R222,119.250003mm,50.549989999999994mm,Top,90.0
R221,118.050003mm,50.549989999999994mm,Top,90.0
R220,116.850003mm,50.549989999999994mm,Top,90.0
R219,115.650003mm,50.549989999999994mm,Top,90.0
R218,117.350003mm,50.59999mm,Bottom,0.0
R208,114.450003mm,49.549989999999994mm,Top,270.0
R207,113.250003mm,49.549989999999994mm,Top,270.0
R206,112.050003mm,49.549989999999994mm,Top,270.0
R205,110.850003mm,49.549989999999994mm,Top,270.0
R204,114.450003mm,50.549989999999994mm,Top,90.0
R203,113.250003mm,50.549989999999994mm,Top,90.0
R202,112.050003mm,50.549989999999994mm,Top,90.0
R201,110.850003mm,50.549989999999994mm,Top,90.0
P106,131.750003mm,61.49999mm,Top,270.0
P105,124.130003mm,61.49999mm,Top,270.0
P104,128.140003mm,61.49999mm,Top,270.0
P201,130.10000300000002mm,50.049989999999994mm,Top,90.0
P200,109.550003mm,48.549989999999994mm,Top,90.0
J100,135.300003mm,71.34998999999999mm,Bottom,90.0
D100,112.950003mm,71.54229mm,Bottom,180.0
D205,139.546503mm,56.80638999999999mm,Top,90.0
D206,127.050003mm,53.34999mm,Top,180.0
D203,122.250003mm,53.34999mm,Top,180.0
D200,112.650003mm,53.34999mm,Top,180.0
D116,113.986103mm,62.14949mm,Top,180.0
D115,118.224403mm,62.14949mm,Top,180.0
D114,113.986103mm,64.08288999999999mm,Top,180.0
D113,118.224403mm,64.08288999999999mm,Top,180.0
D112,113.986103mm,66.01619mm,Top,180.0
D111,118.224403mm,66.01619mm,Top,180.0
